setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SIG_01428|SIG_03398,AAPL US Equity,long,RTY Index_vol.updown_ratio_21 is_high AND LLY US Equity_flow.pcr_ema5_z30 is_high,"SIG_01428, SIG_03398",2022-07-21,2025-08-26,13,11,1,85684.5186,185684.5186,85.6845,35969.0464,run_seed78_20250908_235457
SETUP_0015,QQQ US Equity,long,MSFT US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high,SIG_00839,2021-01-27,2025-09-04,0,81,1,84549.9638,184549.9638,84.55,1334.7764,run_seed37_20250904_130458
SIG_00510|SIG_05114,TSLA US Equity,long,AMZN US Equity_sent.tw_avg_z30 is_high AND XLE US Equity_gate.liquid_flag is_high,"SIG_00510, SIG_05114",2024-08-05,2025-09-08,0,7,1,83922.1148,183922.1148,83.9221,10812.4696,run_seed78_20250908_235457
SIG_03493|SIG_04279,MSTR US Equity,long,RTY Index_x.spread_vs_sector_21 is_high AND EEM US Equity_px.range_pos_63 is_high,"SIG_03493, SIG_04279",2023-01-11,2025-09-08,0,12,1,83146.4026,183146.4026,83.1464,48474.0097,run_seed78_20250908_235457
SIG_00888,COIN US Equity,long,GOOGL US Equity_sent.news_pub_z30 z_breakout_pos,SIG_00888,2024-01-19,2025-09-04,4,16,1,76058.8828,176058.8828,76.0589,6342.0803,run_seed78_20250908_235457
SIG_04761,TSLA US Equity,long,XAU Curncy_risk.drawdown_63 is_high,SIG_04761,2023-10-20,2025-08-29,10,20,1,70167.5866,170167.5866,70.1676,19965.8139,run_seed78_20250908_235457
SIG_01412,AMD US Equity,long,LLY US Equity_opt.fly_1m_40v25 is_high,SIG_01412,2024-07-19,2025-09-01,7,12,1,69454.7541,169454.7541,69.4548,13336.5623,run_seed78_20250908_235457
SETUP_0388,MSTR US Equity,long,GOOGL US Equity_options_total_volume_spike_z_30d is_high AND TSLA US Equity_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d is_high,"SIG_00681, SIG_02736",2024-07-08,2025-09-04,0,10,1,67338.4276,167338.4276,67.3384,206308.9983,run_seed44_20250906_183803
SETUP_0021,AAPL US Equity,long,ARM US Equity_S&P_Global_US_Composite_PMI_in_window is_high AND TSLA US Equity_MBA_Mortgage_Applications_days_to_high is_low,"SIG_04525, SIG_03879",2022-07-07,2025-09-04,0,77,1,60076.9082,160076.9082,60.0769,-526.2034,run_seed48_20250907_022712
SETUP_0053,GOOGL US Equity,long,MSFT US Equity_iv_vs_newsheat_divergence_call3m_z_60d is_high,SIG_00839,2024-08-27,2025-09-04,0,15,1,59082.5971,159082.5971,59.0826,975.7368,run_seed37_20250904_130458
